frame,ECM
0,43.246087963
1,52.2583256173
2,97.6672222222
3,525.951404321
4,1082.34739198
5,1247.50987654
6,1353.55640432
7,1443.31924383
8,1136.77676698
9,6526.97516204
10,548.163294753
11,358.98650463
12,301.379189815
13,350.891604938
14,369.040817901
15,434.440848765
16,407.131944444
17,467.251558642
18,367.634691358
19,410.412229938
20,481.865686728
21,590.794868827
22,560.533356481
23,584.388279321
24,610.070509259
25,551.401242284
26,721.019020062
27,898.68275463
28,814.551234568
29,741.812962963
30,611.899251543
31,525.812615741
32,679.992299383
33,1032.67655093
34,962.892191358
35,1299.32829475
36,1277.43616512
37,1255.51178241
38,1456.58935185
39,1002.82194444
40,948.162800926
41,878.546905864
42,797.345486111
43,863.642029321
44,1013.61716821
45,1228.80018519
46,1220.61638117
47,1043.97179784
48,1448.02611883
49,1000.73801698
50,1132.48993056
51,833.19382716
52,956.456195988
53,840.29787037
54,853.370725309
55,875.448209877
56,1058.80954475
57,1245.94627315
58,1222.80274691
59,1268.27493056
60,930.870069444
61,1168.16556327
62,1187.48137346
63,746.869729938
64,1121.35578704
65,1317.82037809
66,1000.42570988
67,727.388510802
68,703.319498457
69,183.883641975
70,237.606280864
71,363.162893519
72,611.411643519
73,582.567716049
74,678.220987654
75,811.248773148
76,629.232878086
77,875.803819444
78,1053.33177469
79,1341.59637346
80,1088.25303241
81,886.621859568
82,818.622608025
83,1042.13858025
84,996.265671296
85,1156.42258488
86,1124.05217593
87,1160.83587963
88,1133.28717593
89,1289.1138966
90,999.256381173
91,1078.19780864
92,962.097916667
93,803.359012346
94,883.055177469
95,1561.00126543
96,1522.58809414
97,1394.35902006
98,1492.70898148
99,1229.90250772
100,1200.3701929
101,1538.57546296
102,1154.73220679
103,900.219513889
104,1414.09672068
Convirtiendo texto a pepe.avi
